date,total_profit_DA,total_profit_Hybrid,market_used,cumulative_baseline,cumulative_strategy,total_profit
2025-03-10,515.0,515.0,Day Ahead,35105.6,35105.6,515.0
2025-03-11,730.8999999999999,730.8999999999999,Day Ahead,35836.5,35836.5,730.8999999999999
2025-03-12,546.0,546.0,Day Ahead,36382.5,36382.5,546.0
2025-03-13,1234.0,1234.0,Day Ahead,37616.5,37616.5,1234.0
2025-03-14,727.95,727.95,Day Ahead,38344.45,38344.45,727.95
2025-03-15,799.85,799.85,Day Ahead,39144.299999999996,39144.299999999996,799.85
2025-03-16,714.1,714.1,Day Ahead,39858.399999999994,39858.399999999994,714.1
2025-03-17,485.6499999999999,485.6499999999999,Day Ahead,40344.049999999996,40344.049999999996,485.6499999999999
2025-03-18,484.34999999999997,484.34999999999997,Day Ahead,40828.399999999994,40828.399999999994,484.34999999999997
2025-03-19,508.0999999999999,508.0999999999999,Day Ahead,41336.49999999999,41336.49999999999,508.0999999999999
2025-03-20,509.04999999999995,509.04999999999995,Day Ahead,41845.549999999996,41845.549999999996,509.04999999999995
2025-03-21,456.44999999999993,456.44999999999993,Day Ahead,42301.99999999999,42301.99999999999,456.44999999999993
2025-03-22,519.3000000000001,519.3000000000001,Day Ahead,42821.299999999996,42821.299999999996,519.3000000000001
2025-03-23,407.34999999999997,407.34999999999997,Day Ahead,43228.649999999994,43228.649999999994,407.34999999999997
2025-03-24,1355.45,1355.45,Day Ahead,44584.09999999999,44584.09999999999,1355.45
2025-03-25,1203.0500000000002,1203.0500000000002,Day Ahead,45787.149999999994,45787.149999999994,1203.0500000000002
2025-03-26,840.0,840.0,Day Ahead,46627.149999999994,46627.149999999994,840.0
2025-03-27,415.30000000000007,415.30000000000007,Day Ahead,47042.45,47042.45,415.30000000000007
2025-03-28,695.8,695.8,Day Ahead,47738.25,47738.25,695.8
2025-03-29,355.5,355.5,Day Ahead,48093.75,48093.75,355.5
2025-03-30,1130.25,1130.25,Day Ahead,49224.0,49224.0,1130.25
2025-03-31,1486.4499999999998,1545.6499999999996,Balancing,50710.45,50769.65,1545.6499999999996
2025-04-01,586.2,767.2,Balancing,51296.649999999994,51536.85,767.2
2025-04-02,831.1500000000001,620.0500000000001,Balancing,52127.799999999996,52156.9,620.0500000000001
2025-04-03,933.0,1440.75,Balancing,53060.799999999996,53597.65,1440.75
2025-04-04,486.25,782.75,Balancing,53547.049999999996,54380.4,782.75
2025-04-05,740.3499999999999,766.2,Balancing,54287.399999999994,55146.6,766.2
2025-04-06,601.6,601.6,Day Ahead,54888.99999999999,55748.2,601.6
2025-04-07,720.9000000000001,720.9000000000001,Day Ahead,55609.899999999994,56469.1,720.9000000000001
2025-04-08,806.4000000000001,806.4000000000001,Day Ahead,56416.299999999996,57275.5,806.4000000000001
2025-04-09,912.45,912.45,Day Ahead,57328.74999999999,58187.95,912.45
2025-04-10,1133.8999999999999,1133.8999999999999,Day Ahead,58462.649999999994,59321.85,1133.8999999999999
2025-04-11,662.15,662.15,Day Ahead,59124.799999999996,59984.0,662.15
2025-04-12,202.25000000000003,202.25000000000003,Day Ahead,59327.049999999996,60186.25,202.25000000000003
2025-04-13,278.9,278.9,Day Ahead,59605.95,60465.15,278.9
2025-04-14,413.5000000000001,413.5000000000001,Day Ahead,60019.45,60878.65,413.5000000000001
2025-04-15,604.6500000000001,604.6500000000001,Day Ahead,60624.1,61483.3,604.6500000000001
2025-04-16,553.3499999999999,553.3499999999999,Day Ahead,61177.45,62036.65,553.3499999999999
2025-04-17,1246.75,1246.75,Day Ahead,62424.2,63283.4,1246.75
2025-04-18,247.25,247.25,Day Ahead,62671.45,63530.65,247.25
2025-04-19,359.05000000000007,359.05000000000007,Day Ahead,63030.5,63889.700000000004,359.05000000000007
2025-04-20,229.20000000000002,229.20000000000002,Day Ahead,63259.7,64118.9,229.20000000000002
2025-04-21,316.8499999999999,316.8499999999999,Day Ahead,63576.549999999996,64435.75,316.8499999999999
2025-04-22,417.15,417.15,Day Ahead,63993.7,64852.9,417.15
2025-04-23,724.1,724.1,Day Ahead,64717.799999999996,65577.0,724.1
2025-04-24,356.79999999999995,356.79999999999995,Day Ahead,65074.6,65933.8,356.79999999999995
2025-04-25,367.79999999999995,367.79999999999995,Day Ahead,65442.4,66301.6,367.79999999999995
2025-04-26,442.15,442.15,Day Ahead,65884.55,66743.75,442.15
2025-04-27,503.3499999999999,573.35,Balancing,66387.90000000001,67317.1,573.35
2025-04-28,389.79999999999995,936.5500000000001,Balancing,66777.70000000001,68253.65000000001,936.5500000000001
2025-04-29,760.3,1499.35,Balancing,67538.00000000001,69753.00000000001,1499.35
2025-04-30,924.6999999999999,867.45,Balancing,68462.70000000001,70620.45000000001,867.45
2025-05-01,641.4,-55.44999999999999,Balancing,69104.1,70565.00000000001,-55.44999999999999
2025-05-02,887.9000000000001,369.35,Balancing,69992.0,70934.35000000002,369.35
2025-05-03,155.75000000000003,-564.2,Balancing,70147.75,70370.15000000002,-564.2
2025-05-04,409.5,765.4,Balancing,70557.25,71135.55000000002,765.4
2025-05-05,385.1500000000001,-291.65,Balancing,70942.4,70843.90000000002,-291.65
2025-05-06,671.25,556.55,Balancing,71613.65,71400.45000000003,556.55
2025-05-07,648.1999999999999,648.1999999999999,Day Ahead,72261.84999999999,72048.65000000002,648.1999999999999
2025-05-08,649.65,649.65,Day Ahead,72911.49999999999,72698.30000000002,649.65
2025-05-09,636.7,636.7,Day Ahead,73548.19999999998,73335.00000000001,636.7
2025-05-10,232.50000000000006,232.50000000000006,Day Ahead,73780.69999999998,73567.50000000001,232.50000000000006
2025-05-11,107.75000000000004,107.75000000000004,Day Ahead,73888.44999999998,73675.25000000001,107.75000000000004
2025-05-12,442.54999999999995,1545.1,Balancing,74330.99999999999,75220.35000000002,1545.1
2025-05-13,531.85,179.45,Balancing,74862.84999999999,75399.80000000002,179.45
2025-05-14,599.3000000000002,655.9000000000001,Balancing,75462.15,76055.70000000001,655.9000000000001
2025-05-15,291.3,291.3,Day Ahead,75753.45,76347.00000000001,291.3
2025-05-16,455.44999999999993,455.44999999999993,Day Ahead,76208.9,76802.45000000001,455.44999999999993
2025-05-17,238.75,238.75,Day Ahead,76447.65,77041.20000000001,238.75
2025-05-18,338.2,338.2,Day Ahead,76785.84999999999,77379.40000000001,338.2
2025-05-19,503.00000000000006,503.00000000000006,Day Ahead,77288.84999999999,77882.40000000001,503.00000000000006
2025-05-20,588.0,1711.15,Balancing,77876.84999999999,79593.55,1711.15
2025-05-21,445.09999999999997,-40.900000000000006,Balancing,78321.95,79552.65000000001,-40.900000000000006
2025-05-22,469.8500000000001,469.8500000000001,Day Ahead,78791.8,80022.50000000001,469.8500000000001
2025-05-23,423.30000000000007,423.30000000000007,Day Ahead,79215.1,80445.80000000002,423.30000000000007
2025-05-24,386.85,386.85,Day Ahead,79601.95000000001,80832.65000000002,386.85
2025-05-25,342.45,342.45,Day Ahead,79944.40000000001,81175.10000000002,342.45
2025-05-26,798.2,798.2,Day Ahead,80742.6,81973.30000000002,798.2
2025-05-27,98.24999999999997,98.24999999999997,Day Ahead,80840.85,82071.55000000002,98.24999999999997
2025-05-28,566.5500000000001,566.5500000000001,Day Ahead,81407.40000000001,82638.10000000002,566.5500000000001
2025-05-29,517.6999999999999,517.6999999999999,Day Ahead,81925.1,83155.80000000002,517.6999999999999
2025-05-30,684.5500000000001,684.5500000000001,Day Ahead,82609.65000000001,83840.35000000002,684.5500000000001
2025-05-31,521.3000000000001,521.3000000000001,Day Ahead,83130.95000000001,84361.65000000002,521.3000000000001
2025-06-01,453.1,453.1,Day Ahead,83584.05000000002,84814.75000000003,453.1
2025-06-02,316.04999999999995,316.04999999999995,Day Ahead,83900.10000000002,85130.80000000003,316.04999999999995
2025-06-03,773.5,773.5,Day Ahead,84673.60000000002,85904.30000000003,773.5
2025-06-04,721.55,721.55,Day Ahead,85395.15000000002,86625.85000000003,721.55
2025-06-05,521.6,521.6,Day Ahead,85916.75000000003,87147.45000000004,521.6
2025-06-06,703.75,703.75,Day Ahead,86620.50000000003,87851.20000000004,703.75
